date,shift,pump,pump_info,events,seal_failure,low_level,pump_swap,startup,shutdown,trip_fault,low_pressure,oil_lubrication,steam_issue,strainer_clean,maintenance_pm,vibration
03-04-2025,Night,P-214A,Bin 2   P-214-A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-215B,Bin #2 P-215,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-216A,"1730 Brown and Root P-216A - Fit and Weld case drains & prep 12"" for PT and install | V-300 work put on hold due to elevated VOC's, strong north wind and welding job to the south at P-216A | #34 : P-216A",['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-04-2025,Night,P-216B,1: P-216B,[],0,0,0,0,0,0,0,0,0,0,0,0
03-05-2025,Day,P-1B,Bin 2   P-1B   Pull turbine,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Day,P-41B,Bin 3   P-41B   Seal repair,"['maintenance_pm', 'seal_failure']",1,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Day,P-44S,Bin 2   SV-981 @ P-44s,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Day,P-212A,Bin 1   P-212A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Day,P-214A,Bin 2   P-214A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Day,P-216A,B&R has the 12” suction piping for P-216A/B in position & are making welds | B&R is continuing work on P-216A case drains,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Day,P-216B,B&R has the 12” suction piping for P-216A/B in position & are making welds | Bin 1   P-216B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-1B,2: P-1B,[],0,0,0,0,0,0,0,0,0,0,0,0
03-05-2025,Night,P-15B,Bin #7 P-15B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-15C,Bin #1 P-15 C,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-35A,Bin 5  P-35-A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-35B,Bin # 1  P-35-B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-36A,Bin 4  P-36-A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-37A,Bin # 14 P-37 A/B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-37B,Bin # 14 P-37 A/B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-41B,Bin #3 P-41B (main sat box T and I Bin #24),['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-45A,"Dew point at P45 = 20 deg F, P208 = 22 deg F, P202 = 25 deg F, and D63 to cold box = -18 deg F",[],0,0,0,0,0,0,0,0,0,0,0,0
03-05-2025,Night,P-45B,"Dew point at P45 = 20 deg F, P208 = 22 deg F, P202 = 25 deg F, and D63 to cold box = -18 deg F",[],0,0,0,0,0,0,0,0,0,0,0,0
03-05-2025,Night,P-45S,"Dew point at P45 = 20 deg F, P208 = 22 deg F, P202 = 25 deg F, and D63 to cold box = -18 deg F",[],0,0,0,0,0,0,0,0,0,0,0,0
03-05-2025,Night,P-202A,"Dew point at P45 = 20 deg F, P208 = 22 deg F, P202 = 25 deg F, and D63 to cold box = -18 deg F",[],0,0,0,0,0,0,0,0,0,0,0,0
03-05-2025,Night,P-202B,"Dew point at P45 = 20 deg F, P208 = 22 deg F, P202 = 25 deg F, and D63 to cold box = -18 deg F",[],0,0,0,0,0,0,0,0,0,0,0,0
03-05-2025,Night,P-208A,"Dew point at P45 = 20 deg F, P208 = 22 deg F, P202 = 25 deg F, and D63 to cold box = -18 deg F",[],0,0,0,0,0,0,0,0,0,0,0,0
03-05-2025,Night,P-208B,"Dew point at P45 = 20 deg F, P208 = 22 deg F, P202 = 25 deg F, and D63 to cold box = -18 deg F",[],0,0,0,0,0,0,0,0,0,0,0,0
03-05-2025,Night,P-208S,"Dew point at P45 = 20 deg F, P208 = 22 deg F, P202 = 25 deg F, and D63 to cold box = -18 deg F",[],0,0,0,0,0,0,0,0,0,0,0,0
03-05-2025,Night,P-212A,Bin 1   P-212-A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-213A,Bin # 11 P-213 A/B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-213B,Bin # 11 P-213 A/B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-214A,Bin 2   P-214-A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-215B,Bin #2 P-215,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-05-2025,Night,P-216A,1730 Brown and Root P-216A Fit and weld case drains | #34 : P-216A,[],0,0,0,0,0,0,0,0,0,0,0,0
03-05-2025,Night,P-216B,1: P-216B,[],0,0,0,0,0,0,0,0,0,0,0,0
03-06-2025,Day,P-1B,Bin 2   P-1B   Pull turbine,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-06-2025,Day,P-35A,Installed vibration sensors on P-35A,['vibration'],0,0,0,0,0,0,0,0,0,0,0,1
03-06-2025,Day,P-41B,Bin 3   P-41B   Seal repair,"['maintenance_pm', 'seal_failure']",1,0,0,0,0,0,0,0,0,0,1,0
03-06-2025,Day,P-44S,Bin 2   SV-981 @ P-44s,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-06-2025,Day,P-212A,Bin 1   P-212A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-06-2025,Day,P-214A,Bin 2   P-214A,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
03-06-2025,Day,P-216B,Bin 1   P-216B,['maintenance_pm'],0,0,0,0,0,0,0,0,0,0,1,0
